Module Code,Title
CM3261,Environmental Chemistry
CM3262,Advanced Inorganic Materials
CM3264,Petroleum and Industrial Organics
CM3265,Polymer Chemistry II
CM3291,Advanced Experiments In Organic & Inorganic Chemistry
CM3292,Advanced Experiments In Analytical & Physical Chemistry
CM3295,Selected Experiments in Analytical Chem.
CM3296,Molecular Modelling: Theory & Practice
CM3301,Advanced Forensic Science
CM4211,Advanced Coordination Chemistry
CM4212,Advanced Organometallic Chemistry
CM4214,Structural Methods in Inorganic Chem
CM4222,Adv Organic Synthesis and Spectroscopy
CM4222,Advanced Organic Synthesis and Spectroscopy
CM4223,Asymmetric Synthesis
CM4226,Current Topics in Organic Chemistry
CM4236,Spectroscopy in Biophysical Chemistry
CM4237,Interfaces and the Liquid State
CM4241,Trace Analysis
CM4242,Advanced Analytical Techniques
CM4261,Surface Science
CM4266,Current Topics in Materials Chemistry
CM4268,Advanced Polymer Science
CM4269,Sustainable & Green Chemistry
CM4271,Medicinal Chemistry
CN1111,Chemical Engineering Principles
CN1111E,Chemical Engineering Principles
CN2108,Chemical Engineering Process Laboratory I
CN2116,Chemical Kinetics & Reactor Design
CN2116E,Chemical Kinetics And Reactor Design
CN2121,Chemical Engineering Thermodynamics
CN2121E,Chemical Engineering Thermodynamics
CN2122,Fluid Mechanics
CN2122E,Fluid Mechanics
CN2125,Heat & Mass Transfer
CN2125E,Heat And Mass Transfer
CN3108,Chemical Engineering Process Laboratory II
CN3109,Chemical Engineering Process Laboratory III
CN3121,Process Dynamics & Control
CN3121E,Process Dynamics & Control
CN3122,Mass Transfer Operations
CN3124,Particle Technology
CN3124E,Particle Technology
CN3125,Safety Health And The Environment
CN3132,Separation Processes
CN3132E,Separation Processes
CN3135,"Process Safety, Health and Environment"
CN3135E,"Process Safety, Health and Environment"
CN3421,Process Modeling And Numerical Simulation
CN4111,Process Design and Safety
CN4111E,Process Design & Safety
CN4118,Research Project in Chemical Engineering
CN4118E,B.Tech. Dissertation
CN4118R,B.Eng. Dissertation
CN4119,Design 1
CN4120,Design II
CN4120E,Design Project
CN4120R,Design Project
CN4121,Design Project
CN4121E,Design Project
CN4201,Petroleum Refining
CN4201R,Petroleum Refining
CN4203,Polymer Engineering
CN4203R,Polymer Engineering
CN4205R,Process Systems Engineering
CN4208,Biochemical Engineering
CN4208E,Biochemical Engineering
CN4210,Membrane Science & Engineering
CN4210E,Membrane Science And Engineering
CN4211,Petrochemicals & Processing Technology
CN4211E,Petrochemicals & Processing Technology
CN4211R,Petrochemicals and Processing Technology
CN4215,Food Technology & Engineering
CN4215E,Food Technology And Engineering
CN4215R,Food Technology and Engineering
CN4216,Electronic Materials Science
CN4216R,Electronic Materials Science
CN4217,Processing Of Microelectronic Materials
CN4217R,Processing of Microelectronic Materials
CN4223,Microelectronic Thin Films
CN4223R,Microelectronic Thin Films
CN4227,Advanced Process Control
CN4227E,Advanced Process Control
CN4227R,Advanced Process Control
CN4229E,Computer Aided Chemical Engineering
CN4231,Downstream Processing Of Biochem & Pharm
CN4232,Unit Operations In Pharm & Fine Chem Syn
CN4238,Chemical & Biochemical Process Modeling
